"filename", "language", "JavaScript", "CSS", "JavaScript React", "TypeScript", "XML", "JSON", "comment", "blank", "total"
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Helper\uploadHelper.js", "JavaScript", 29, 0, 0, 0, 0, 0, 17, 7, 53
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Helper\uploadHelperWeb3Storage.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 4, 21
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Hooks\useIsInViewport.jsx", "JavaScript React", 0, 0, 21, 0, 0, 0, 0, 7, 28
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Hooks\useLocalStorage.jsx", "JavaScript React", 0, 0, 10, 0, 0, 0, 0, 3, 13
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Hooks\useUserActions.jsx", "JavaScript React", 0, 0, 42, 0, 0, 0, 0, 4, 46
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Pages\ConnectWallet.jsx", "JavaScript React", 0, 0, 14, 0, 0, 0, 0, 4, 18
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Pages\HomeScreen.jsx", "JavaScript React", 0, 0, 34, 0, 0, 0, 2, 5, 41
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Pages\Profile.jsx", "JavaScript React", 0, 0, 74, 0, 0, 0, 1, 8, 83
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Store.js", "JavaScript", 56, 0, 0, 0, 0, 0, 5, 5, 66
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\security\ReentrancyGuard.sol\ReentrancyGuard.dbg.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 1, 5
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\security\ReentrancyGuard.sol\ReentrancyGuard.json", "JSON", 0, 0, 0, 0, 0, 10, 0, 1, 11
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\token\ERC721\ERC721.sol\ERC721.dbg.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 1, 5
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\token\ERC721\ERC721.sol\ERC721.json", "JSON", 0, 0, 0, 0, 0, 357, 0, 1, 358
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\token\ERC721\IERC721.sol\IERC721.dbg.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 1, 5
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\token\ERC721\IERC721.sol\IERC721.json", "JSON", 0, 0, 0, 0, 0, 296, 0, 1, 297
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\token\ERC721\IERC721Receiver.sol\IERC721Receiver.dbg.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 1, 5
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\token\ERC721\IERC721Receiver.sol\IERC721Receiver.json", "JSON", 0, 0, 0, 0, 0, 45, 0, 1, 46
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\token\ERC721\extensions\ERC721URIStorage.sol\ERC721URIStorage.dbg.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 1, 5
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\token\ERC721\extensions\ERC721URIStorage.sol\ERC721URIStorage.json", "JSON", 0, 0, 0, 0, 0, 341, 0, 1, 342
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\token\ERC721\extensions\IERC721Metadata.sol\IERC721Metadata.dbg.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 1, 5
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\token\ERC721\extensions\IERC721Metadata.sol\IERC721Metadata.json", "JSON", 0, 0, 0, 0, 0, 341, 0, 1, 342
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\utils\Address.sol\Address.dbg.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 1, 5
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\utils\Address.sol\Address.json", "JSON", 0, 0, 0, 0, 0, 10, 0, 1, 11
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\utils\Context.sol\Context.dbg.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 1, 5
